#OTU ID	G63402	G63403	G63406	G63407	G63409	G63410	G63411	G63413	G75226	G75227	G75228	G75229	G75230	G75231	G75232	G75233	G75234	G75235	G75236	G75237	G51190
OTU872	95	0	0	40	10	15	0	23	0	0	0	0	0	0	86	189	0	0	13	0	0
OTU125	39	32	95	4	68	5	12	45	11	6	5	1	17	2	3	2	12	8	0	42	53
OTU113	0	2	30	0	116	1	35	64	2	0	2	2	5	0	32	68	2	0	18	74	0
OTU102	0	0	0	34	0	6	0	0	0	0	0	133	0	274	0	0	0	0	0	0	0
OTU112	0	0	0	415	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU120	0	9	2	8	141	18	0	35	0	0	3	3	0	2	0	1	8	3	3	20	167
OTU116	48	11	50	9	15	17	10	126	25	0	5	1	7	1	1	3	3	1	2	14	73
OTU111	0	0	1	0	0	0	0	405	9	0	0	0	4	0	0	0	0	0	0	0	1
OTU107	0	0	0	2	0	0	0	0	0	0	0	1	0	413	0	0	0	0	0	0	0
OTU118	0	0	0	284	0	115	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU130	0	0	0	0	0	0	350	0	0	0	0	0	45	0	0	0	0	0	0	0	0
OTU623	6	74	0	4	0	3	0	0	2	0	0	0	0	0	1	0	40	0	1	0	260
OTU129	0	59	1	15	0	24	0	6	4	0	15	0	9	0	0	0	9	0	0	24	217
OTU119	2	2	32	0	70	0	160	46	1	0	1	4	8	3	8	24	3	3	0	8	4
OTU447	0	0	34	76	2	11	247	1	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU281	5	1	0	0	0	0	0	352	8	0	0	0	0	0	0	0	0	0	0	0	0
OTU126	0	0	0	0	329	0	0	0	0	0	1	2	13	10	0	0	0	0	0	6	2
OTU124	0	0	24	15	36	13	1	44	15	12	10	4	0	5	20	22	0	27	0	23	91
OTU310	0	103	3	15	18	42	0	8	20	0	5	0	0	3	4	10	94	0	0	23	0
OTU441	5	1	1	26	5	57	3	235	0	0	0	0	0	0	0	0	0	1	0	0	1
OTU220	9	0	0	48	16	145	0	0	0	0	0	1	0	0	0	0	0	0	113	0	1
OTU298	0	0	100	0	26	0	1	0	0	0	0	29	0	7	11	96	0	0	62	0	0
OTU403	1	11	157	0	2	0	0	78	3	1	0	0	25	0	8	0	2	1	0	0	41
OTU122	0	4	28	0	0	0	265	1	0	0	1	0	1	0	0	17	6	0	0	3	0
OTU131	0	0	0	273	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU139	28	0	128	26	0	20	1	0	0	0	44	0	0	0	0	0	0	0	35	39	0
OTU136	4	30	123	0	0	6	70	0	0	0	0	11	0	11	0	0	18	8	37	0	0
OTU138	1	1	51	75	10	17	9	5	1	0	1	0	0	0	114	0	2	0	21	9	0
OTU409	5	0	0	53	0	94	0	45	2	0	0	0	23	0	0	0	0	0	62	20	0
OTU134	0	1	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	297	1	0
OTU133	0	0	0	192	0	88	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU178	1	2	0	2	3	0	1	0	0	0	0	0	0	0	17	16	0	1	237	0	0
OTU132	6	1	0	0	1	2	0	0	134	0	0	13	49	5	0	0	21	0	43	0	0
OTU150	1	55	44	3	45	3	7	19	9	0	13	0	0	1	6	5	16	0	0	21	20
OTU146	0	0	17	0	48	0	38	2	0	0	3	1	32	0	16	24	0	1	0	76	4
OTU163	0	0	133	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU144	1	0	0	76	0	60	2	0	0	0	0	0	0	0	6	109	0	0	0	0	0
OTU164	0	0	0	0	82	0	0	0	0	4	0	0	0	0	0	88	0	33	42	0	0
OTU142	0	0	0	0	0	0	10	233	4	0	0	0	0	0	0	0	0	0	0	0	0
OTU140	0	46	0	0	39	2	0	45	70	0	0	0	5	0	0	0	36	0	0	0	0
OTU137	0	0	0	109	0	124	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU157	0	26	0	1	139	2	0	14	0	1	7	0	7	1	2	0	5	2	0	9	20
OTU147	0	0	0	0	0	0	231	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU443	0	0	31	9	3	5	14	50	1	0	0	0	1	2	42	5	3	3	19	39	1
OTU143	0	98	2	0	0	0	0	3	2	0	0	1	15	4	1	0	95	0	0	1	5
OTU135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	224	0	0
OTU148	19	1	2	5	0	0	66	1	2	0	6	6	5	1	2	0	3	1	0	13	89
OTU172	0	0	0	131	1	59	0	0	0	0	0	0	0	0	0	0	0	0	22	0	1
OTU603	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	163	0	0
OTU149	9	0	0	56	11	30	0	0	0	1	0	13	0	3	0	1	1	45	36	0	0
OTU145	0	0	0	0	0	0	0	0	36	73	17	0	0	1	0	16	34	5	19	2	0
OTU192	0	0	47	10	30	2	95	0	0	0	0	0	0	0	0	0	1	0	5	0	0
OTU179	1	0	105	0	2	0	0	0	0	0	0	0	0	1	0	0	0	81	0	0	0
OTU171	13	0	0	13	20	16	0	0	6	0	0	2	11	6	0	13	0	2	2	30	50
OTU814	1	1	0	0	72	0	0	36	11	0	2	4	0	0	0	9	0	1	0	18	23
OTU161	0	0	0	0	1	0	172	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU153	0	45	29	0	28	0	0	0	7	0	2	0	0	0	8	7	9	3	0	32	0
OTU466	0	0	1	0	0	0	0	0	0	0	0	0	0	0	155	1	0	0	9	2	1
OTU167	0	0	0	43	0	28	0	0	0	0	0	0	0	0	0	0	0	0	96	0	0
OTU578	5	10	0	0	0	0	0	0	41	0	0	0	0	0	0	0	107	0	0	0	0
OTU251	16	6	3	3	29	2	0	15	0	0	13	3	8	1	7	16	5	1	0	6	29
OTU152	0	0	4	0	0	1	0	154	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU159	0	1	34	0	8	5	54	32	13	0	0	0	0	0	2	0	0	1	0	3	4
OTU176	8	1	4	23	14	41	12	2	0	2	1	0	0	1	2	7	2	5	0	4	26
OTU154	0	0	0	68	0	83	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU155	0	0	0	0	0	0	2	0	0	0	0	40	0	101	0	0	0	0	0	0	0
OTU184	0	0	0	21	0	17	0	0	0	0	6	6	0	6	4	11	0	0	10	33	27
OTU160	0	0	0	0	8	0	0	0	0	0	0	0	0	0	80	40	0	0	11	0	0
OTU174	0	23	0	0	0	1	0	0	0	0	0	7	0	2	0	0	17	0	0	0	88
OTU173	0	0	0	72	0	58	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
OTU166	0	0	1	29	0	94	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0
OTU200	0	0	0	14	2	18	0	0	16	0	9	0	0	0	0	0	0	0	0	71	0
OTU199	0	0	0	0	33	0	0	0	0	0	3	0	0	0	0	0	0	0	0	11	78
OTU170	0	0	11	0	0	0	0	76	0	0	0	0	0	0	0	0	3	0	0	0	34
OTU162	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0
OTU168	0	0	3	0	1	0	2	115	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU169	0	0	0	42	0	78	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
OTU757	0	0	0	60	0	43	0	0	0	0	0	0	0	9	0	0	0	0	0	0	1
OTU762	1	9	6	0	33	0	15	4	0	0	1	0	3	0	2	15	8	7	0	1	5
OTU579	0	0	3	1	6	0	71	13	7	0	0	2	1	0	0	0	2	0	0	2	0
OTU182	0	0	5	6	5	6	0	51	9	0	1	0	0	0	0	1	0	2	0	4	17
OTU180	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU193	0	0	0	1	37	1	0	14	35	0	0	1	0	1	0	1	0	0	1	1	0
OTU181	0	0	0	0	6	2	0	0	0	0	0	5	0	11	0	0	2	0	65	0	0
OTU631	55	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU177	0	3	41	0	0	0	0	3	20	0	2	0	0	0	0	13	2	0	0	6	0
OTU183	0	0	0	7	3	4	0	0	0	0	1	4	0	0	12	23	3	0	0	5	27
OTU188	0	0	0	2	10	7	0	0	0	0	0	0	0	0	2	7	0	0	0	13	46
OTU676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86
OTU175	0	0	0	30	0	24	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0
OTU196	0	5	45	0	5	0	0	0	5	0	0	0	0	0	0	3	1	0	0	12	6
