# OTU	G75230	G75231	G75232	G63407	G75234	G63409	G75229	G75228	G63413	G75226	G63406	G63410	G63402	G63403	G75227	G75233	G51190	G75237	G75236	G63411	G75235	taxonomy
175619	0	0	0	0	0	0	0	0	4	2	0	0	0	0	0	0	0	1	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
4454586	0	29	46	1067	63	94	13	82	320	106	0	427	327	51	3	73	0	27	25	0	37	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Odoribacteraceae]; g__Odoribacter; s__
174885	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU805	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	Unclassified
180121	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU617	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Unclassified
287508	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Slackia; s__
4419621	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
361375	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	1	6	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4326869	0	0	0	0	1	0	0	0	0	1	1	1	0	2	0	0	0	1	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
