#OTU ID	G28712	G28715	G28745	G28774	G28775	G34180	G34181	G34182	G34183	G34185	G34186	G34187	G34188	G34189	G34190	G34191	G34192	G34193	G34194	G34195	G34196	G34198	G34199	G34200	G34201	G34202	G34203	G34204	G34206	G34207	G34208	G34209	G34210	G34211	G34212	G34214	G34215	G34216	G34217	G34218	G34219	G34220	G34221	G34222	G34227	G34228	G34229	G34237	G44038	G44039	G44040	G44041	G44043	G44044	G44050	G44062	G44065	G44066	G44074	G44076	G44081	G44089	G44090	G44093	G44094	G44095	G44100	G75268	G75269	G75270	G75271	G75272	G75273	G75274	G75277	G75278	G75280	G75281	G75283	G75285	G75286	G75287	G75288	G75290	G75291	G75298	G75302	G75303	G75304	G75305	G75306	G75307	G75308	G75309	G75316	G75321	G75353	G89736	G28711
OTU612	1	0	2	141	0	108	121	53	241	189	16	18	13	14	7	13	16	0	0	0	27	0	0	0	0	0	4	1	11	17	81	2	0	0	36	83	33	36	18	1	48	0	0	33	130	11	16	43	7785	169	4460	6868	5438	2541	5654	15058	808	1277	0	57	8	4444	2928	1679	3916	5	4	30	0	1	355	3	0	0	654	58	18	555	1711	2645	263	1022	897	245	703	0	141	4	15	601	1527	416	78	884	0	9	21	210	1184
OTU9	8540	863	350	55	1	43	15	2	28	43	9	3	3	0	10	7	10	762	547	99	199	11	44	130	40	145	42	4	36	1	13	8	15	39	58	165	83	39	0	86	8	80	16	12	312	58	8	65	1312	3179	1044	5774	109	15931	1035	2472	73	257	1007	13	371	359	39	1825	2711	4353	317	18	441	3849	838	8	173	96	48	26	1	74	5053	240	263	915	126	1675	260	398	397	110	937	11	183	43	22	24	81	28	65	60	161
OTU17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	143	48	127	0	150	0	0	118	0	0	0	0	3	6	3	1766	1	5	1	44046	1	6	1	10186	1	3	4	8	3	0	3	0	0	1	57	0	1	0	0	3	193	1804	2	2294	477	2731	3154	3	0	0	0	0	0	1850	1987	0	0	0	1	0	1	0	0
OTU10	3	1	0	63	0	118	70	2	130	67	17	18	18	17	97	56	68	0	0	19	27	0	2	2	0	0	2	1	79	11	30	68	113	49	3	8	25	46	36	0	15	0	0	24	51	43	50	6	8163	3313	195	1617	2714	912	607	3279	1423	996	76	110	5584	7254	2240	2036	483	14736	22	650	0	1	62	17	24	10	811	827	4	243	1288	1003	98	548	227	628	1207	4	69	1877	0	132	157	13	68	165	1	956	683	163	558
OTU11	2606	17	1	423	0	153	104	25	258	56	44	58	30	13	146	65	68	86	45	189	51	0	2	0	0	0	1	4	155	51	114	106	212	209	41	46	79	94	34	0	49	0	0	25	30	91	60	60	13246	2821	3445	2169	1890	1851	1420	7276	410	834	0	350	4087	5003	1179	6	762	4824	2	842	2	1541	708	0	1	0	0	1	2	1041	2	582	90	441	217	361	520	8	241	261	0	251	210	85	1	164	0	0	1	855	707
OTU26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	220	397	5	833	0	2	0	0	0	0	0	0	0	0	0	0	0	0	151	71	666	617	0	942	1	2	827	0	0	0	0	0	4	1	29881	0	2	4	3	0	0	1	188	1	3	0	5	3	1	1	0	0	0	3734	0	0	0	0	0	2	14847	1	2	0	0	0	0	0	0	1	1	0	324	1	0	0	0	0	0	1	8648	0
OTU13	3725	7988	29	8	105	175	226	60	225	67	94	110	78	40	150	153	97	44	29	229	5	191	405	337	29	196	199	1541	0	0	1	82	121	43	34	7	0	13	8	0	2	0	0	0	1	1	6	43	327	352	1016	209	1380	491	18	5698	452	155	966	14	15932	26	1276	573	19	23	803	650	0	2028	37	76	161	718	192	237	1157	92	66	8	1	0	5	2	0	6512	147	220	206	25	7	1	26	185	0	0	2	11	823
OTU12	0	0	0	0	0	85	177	488	10	119	116	151	113	43	342	293	237	0	0	0	8	0	0	0	1	0	7	3	10	409	147	16	0	18	82	0	0	0	0	0	0	0	0	0	167	193	213	153	2703	6467	5365	41	6384	6885	4952	2	1967	3856	1	3	0	4	3707	3487	1503	0	0	838	0	0	4	0	0	0	1226	926	0	6	827	0	0	0	0	0	0	0	433	0	0	4	0	370	1162	410	0	222	1012	0	819
OTU31	0	0	0	8	0	65	138	384	9	30	18	24	15	3	35	27	30	0	0	0	26	0	0	0	0	0	2	0	2	5	26	0	0	0	27	5	2	18	3	0	36	0	0	3	0	0	0	63	2	10	3580	1480	5359	5833	5718	1679	1429	1	0	23	2	11166	3680	0	2421	2	0	175	0	0	0	0	0	0	1717	1381	1	42	1345	681	187	508	752	879	2026	0	15	0	0	0	246	83	512	166	0	0	0	0	591
OTU987	0	0	5	12	327	0	1	8	67	127	48	63	37	25	38	76	48	0	0	4	42	10	359	52	155	125	406	2	22	3	143	4	42	20	88	0	0	0	0	0	92	0	1	45	0	0	0	123	12	1303	3	554	5689	2	3660	1	208	53	2288	3	13742	6967	2073	2675	4210	524	1512	178	0	1	152	327	347	610	349	441	0	0	526	47	41	400	139	1	1	0	0	174	1297	1	15	109	362	10	0	1	10	25	15
