# OTU	G34185	G34220	G34187	G34186	G34181	G34180	G34183	G34182	G34228	G34229	G34189	G34188	G34227	G44044	G44043	G44041	G44040	G34237	G89736	G34221	G34222	G44038	G44039	G28745	G44094	G34196	G44090	G44093	G34217	G34195	G34192	G34193	G34212	G75308	G75309	G75304	G75305	G75306	G75307	G75302	G75303	G44081	G44089	G75316	G44095	G44076	G44074	G75321	G28775	G28774	G75274	G75277	G75270	G75271	G75272	G75273	G75278	G44065	G44066	G44062	G75269	G75268	G34206	G34207	G34204	G34202	G34203	G34200	G34201	G44050	G34208	G34209	G28715	G44100	G28711	G75298	G28712	G75290	G75291	G34215	G34214	G34194	G34216	G34211	G34210	G34190	G34191	G34219	G34218	G34198	G34199	G75353	G75288	G75285	G75287	G75286	G75281	G75280	G75283	taxonomy
192079	0	0	15	9	0	0	0	0	0	0	4	18	0	0	1699	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	31	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	48	0	0	0	0	53	278	353	204	134	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
359872	12	0	25	15	12	32	25	34	0	0	4	15	0	2	515	422	0	0	488	0	0	0	0	0	1	9	522	0	0	1	66	0	0	0	34	1	137	1	0	0	494	4707	0	0	222	0	52	109	0	7	0	0	4	44	0	1	0	76	0	17	0	241	0	0	1	0	0	0	0	1	0	0	0	8	368	0	24	0	0	0	0	0	0	0	0	68	50	0	0	0	0	222	0	0	0	0	350	182	0	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila; s__
199543	1	0	0	1	1	2	3	0	0	0	0	1	9	0	11	0	7	5	3	0	0	162	31	3	9	0	14	11	0	0	0	0	2	2	2	39	3	4	1	0	0	0	63	0	0	0	114	9	1	44	17	41	0	0	3	34	36	4	11	17	0	10	1	0	0	19	4	7	2	14	1	1	0	50	5	0	0	1	33	0	0	0	0	12	2	0	4	0	0	0	3	64	3	13	7	1	0	1	49	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__
1076969	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	19	0	0	0	0	0	0	0	0	0	9	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
291518	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
975306	101	0	11	20	232	286	207	186	96	150	10	24	16	1588	2915	3296	11463	154	391	1	16	14094	14735	25	14287	64	2784	9219	481	17	47	42	120	1072	220	2554	307	1783	796	1	5853	14510	15728	0	20836	1435	2452	1739	67	746	1656	2437	1330	447	649	609	1404	827	4653	6120	0	293	212	23	111	300	276	39	140	6871	586	247	1399	2729	1433	2	2528	959	2857	23	108	51	69	513	1044	62	48	72	0	9	606	2693	2912	3878	4734	157	1060	11	326	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
585914	5	0	15	7	1	5	1	28	0	0	5	9	0	1	183	308	0	0	0	0	11	2	3	0	287	49	921	0	38	0	8	5	0	0	41	0	202	0	107	0	0	0	104	0	0	69	1	622	0	0	0	1069	0	69	0	0	211	41	1	0	0	8	0	3	2	0	0	0	0	399	27	0	1	0	19	0	0	10	57	9	16	4	22	0	0	4	13	18	0	1	0	1425	0	0	0	0	255	521	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Porphyromonadaceae; g__Parabacteroides; s__distasonis
227819	8	0	5	4	0	8	8	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	96	0	0	0	3	0	0	0	15	0	1	0	0	0	0	0	1	0	0	0	0	0	0	19	0	0	0	0	0	0	0	29	0	0	0	58	0	0	0	0	0	0	0	3	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	7	13	0	0	0	0	0	0	0	0	0	2	0	0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__
503406	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Tissierellaceae]; g__Peptoniphilus; s__
352304	7	0	1	2	0	39	6	44	5	0	0	2	0	681	1333	1175	1567	64	513	0	0	1	674	0	404	21	199	3689	0	2	0	0	36	360	13	320	0	132	85	0	1	1	892	0	2	0	1729	0	110	0	1020	641	0	41	425	144	179	7	207	404	0	6	7	0	0	66	108	9	34	1284	36	3	2532	1509	318	0	0	184	275	0	0	0	0	29	11	0	3	0	0	0	266	62	485	1	12	17	0	0	58	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
